00:00:00.003141 main     VirtualBox COM Server 7.1.10 r169112 win.amd64 (Jun  3 2025 13:11:30) release log
00:00:00.003143 main     Log opened 2025-10-24T08:28:44.876931700Z
00:00:00.003144 main     Build Type: release
00:00:00.003148 main     OS Product: Windows 11
00:00:00.003148 main     OS Release: 10.0.26100
00:00:00.003149 main     OS Service Pack: 
00:00:00.090150 main     DMI Product Name: BMH-WCX9
00:00:00.105179 main     DMI Product Version: M1060
00:00:00.105191 main     Firmware type: UEFI
00:00:00.105658 main     Secure Boot: Disabled
00:00:00.105672 main     Host RAM: 15706MB (15.3GB) total, 6963MB (6.8GB) available
00:00:00.105675 main     Executable: C:\Program Files\Oracle\VirtualBox\VBoxSVC.exe
00:00:00.105676 main     Process ID: 13936
00:00:00.105676 main     Package type: WINDOWS_64BITS_GENERIC
00:00:00.105678 main     Windows Features:
00:00:00.105679 main       Core Isolation (Memory Integrity): DISABLED
00:00:00.179595          VirtualBox: object creation starts
00:00:00.179826          Home directory: 'C:\Users\iidone\.VirtualBox'
00:00:00.180080          Installed Drivers:
00:00:00.217214          Loading settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.219736          usbLibGetDevices: Starting USB device enumeration
00:00:00.226561          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&2844ad3f&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 4
00:00:00.226760          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&1e9524f&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 2
00:00:00.226828          Getting USB descriptor (id 0) failed (dwErr=31) on hub USB#ROOT_HUB30#5&1e9524f&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} port 3
00:00:00.229645          usbLibGetDevices: Found 4 USB devices, 0 captured
00:00:00.229716          USB: Unknown USB device detected (idVendor: 0x0489, idProduct: 0xe0df)
00:00:00.229730          USB: Unknown USB device detected (idVendor: 0x13d3, idProduct: 0x56f9)
00:00:00.229738          USB: Unknown USB device detected (idVendor: 0x27c6, idProduct: 0x5125)
00:00:00.324170          HostDnsMonitor: initializing
00:00:00.339578          HostDnsMonitor: updating information
00:00:00.339610          HostDnsMonitor: old information
00:00:00.339611            no server entries
00:00:00.339611            no domain set
00:00:00.339612            no search string entries
00:00:00.339612          HostDnsMonitor: new information
00:00:00.339612            server 1: 172.20.10.1
00:00:00.339613            no domain set
00:00:00.339613            no search string entries
00:00:00.343541          VD: VDInit finished with VINF_SUCCESS
00:00:00.344911          VirtualBox: object created
00:00:00.527708          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.530260          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:00:00.530600          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.533766          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:00:00.533991          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:00:00.536066          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:01:10.831670          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:01:10.834027          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:02:49.385184          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:02:49.387520          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:03:13.768082 createBase Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:03:13.771092 createBase Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:03:13.786540          Platform architecture set to 'x86'
00:03:13.790043          Platform architecture set to 'x86'
00:03:13.790078          Platform architecture set to 'x86'
00:03:13.792748          Platform architecture set to 'x86'
00:03:13.796147          Saving settings file "C:\Users\iidone\VirtualBox VMs\bardak\bardak.vbox" with version "1.19-windows"
00:03:13.798137          Finished saving settings file "C:\Users\iidone\VirtualBox VMs\bardak\bardak.vbox"
00:03:13.798283          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:03:13.800677          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:03:13.805381          Platform architecture set to 'x86'
00:03:13.809039          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:03:13.811555          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:03:13.812939          Saving settings file "C:\Users\iidone\VirtualBox VMs\bardak\bardak.vbox" with version "1.19-windows"
00:03:13.815075          Finished saving settings file "C:\Users\iidone\VirtualBox VMs\bardak\bardak.vbox"
00:03:13.819245          UnattendedInstaller::initInstaller: UnattendedInstaller::savePassedData(): 
00:03:13.859935          Platform architecture set to 'x86'
00:03:13.870310          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:03:13.872965          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:03:13.873094          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:03:13.875541          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:03:13.875790          Saving settings file "C:\Users\iidone\VirtualBox VMs\bardak\bardak.vbox" with version "1.19-windows"
00:03:13.878059          Finished saving settings file "C:\Users\iidone\VirtualBox VMs\bardak\bardak.vbox"
00:03:13.890402          Launched VM: 2018013104 pid: 11448 (0x2cb8) frontend: GUI/Qt name: bardak
00:03:13.917997          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:03:13.921022          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:03:14.278660          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:14.389843          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:03:15.749690          Saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:03:15.763255          Finished saving settings file "C:\Users\iidone\.VirtualBox\VirtualBox.xml"
00:03:18.364511          Platform architecture set to 'x86'
00:03:18.451328          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:18.456846          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
